,roi_name,geom_mica,idx_csv,geom_csv
35,7Networks_LH_DorsAttn_Pos,[-33.93177795410156 -47.7508659362793 42.745216369628906],35,[-32 -48 46]
36,7Networks_LH_DorsAttn_Pos,[-16.107091903686523 -71.12297058105469 48.586769104003906],36,[-16 -72 54]
37,7Networks_LH_DorsAttn_Pos,[-28.08465576171875 -58.6457633972168 54.751914978027344],37,[-30 -60 60]
38,7Networks_LH_DorsAttn_Pos,[-7.698549747467041 -57.79572296142578 56.97490692138672],38,[-6 -60 56]
39,7Networks_LH_DorsAttn_Post,[-19.384418487548828 -49.690711975097656 67.18829345703125],39,[-18 -54 68]
40,7Networks_LH_DorsAttn_FE,[-31.988529205322266 -3.9987258911132812 47.87158203125],40,[-32 -4 54]
41,7Networks_LH_DorsAttn_FE,[-22.122676849365234 5.579955577850342 58.4926872253418],41,[-22 6 62]
42,7Networks_LH_DorsAttn_PrC,[-46.6832160949707 5.435755729675293 26.055652618408203],42,[-48 6 28]
43,7Networks_LH_SalVentAttn_ParOpe,[-54.74126052856445 -42.287254333496094 19.899539947509766],43,[-56 -40 20]
44,7Networks_LH_SalVentAttn_ParOpe,[-59.98088455200195 -25.18635368347168 27.28802490234375],44,[-62 -26 28]
45,7Networks_LH_SalVentAttn_ParOpe,[-60.62860107421875 -41.17071533203125 35.971641540527344],45,[-60 -40 36]
46,7Networks_LH_SalVentAttn_FrOperIn,[-41.02446365356445 -6.6105804443359375 -6.839211940765381],46,[-40 -4 -4]
47,7Networks_LH_SalVentAttn_FrOperIn,[-32.70930099487305 21.62480354309082 4.654392242431641],47,[-34 20 6]
48,7Networks_LH_SalVentAttn_FrOperIn,[-38.3292121887207 0.8809775114059448 11.588729858398438],48,[-38 0 10]
49,7Networks_LH_SalVentAttn_FrOperIn,[-50.656715393066406 8.70583438873291 8.782587051391602],49,[-52 8 10]
50,7Networks_LH_SalVentAttn_PFC,[-31.843456268310547 37.80506134033203 26.163782119750977],50,[-28 42 32]
51,7Networks_LH_SalVentAttn_Me,[-8.14069938659668 7.9650702476501465 41.05127716064453],51,[-6 10 42]
52,7Networks_LH_SalVentAttn_Me,[-13.136034965515137 -33.7402229309082 46.71775436401367],52,[-12 -36 46]
53,7Networks_LH_SalVentAttn_Me,[-7.187145233154297 -4.763871669769287 63.23008346557617],53,[-6 -2 66]
54,7Networks_LH_Limbic_OF,[-22.747299194335938 22.45766830444336 -20.342052459716797],54,[-24 22 -20]
55,7Networks_LH_Limbic_OF,[-8.80790901184082 29.504047393798828 -23.40492820739746],55,[-10 36 -20]
56,7Networks_LH_Limbic_TempPol,[-28.52384376525879 -6.873566627502441 -36.883697509765625],56,[-30 -6 -40]
57,7Networks_LH_Limbic_TempPol,[-44.79273986816406 -22.284435272216797 -31.36969566345215],57,[-44 -20 -30]
58,7Networks_LH_Limbic_TempPol,[-27.661197662353516 9.823974609375 -31.365005493164062],58,[-28 10 -34]
59,7Networks_LH_Limbic_TempPol,[-43.29607009887695 4.307566165924072 -21.01821517944336],59,[-42 8 -18]
60,7Networks_LH_Cont_Pa,[-51.14366912841797 -54.76594161987305 39.150917053222656],60,[-54 -50 46]
61,7Networks_LH_Cont_Pa,[-34.29975509643555 -60.3020133972168 40.04758071899414],61,[-34 -62 48]
62,7Networks_LH_Cont_Pa,[-44.719200134277344 -45.74066925048828 43.00148391723633],62,[-46 -42 46]
63,7Networks_LH_Cont_Tem,[-59.9802131652832 -41.95484924316406 -17.276159286499023],63,[-60 -42 -14]
64,7Networks_LH_Cont_OF,[-33.068450927734375 39.577545166015625 -12.867156982421875],64,[-32 42 -14]
65,7Networks_LH_Cont_PFC,[-42.7525749206543 46.28099822998047 -7.290214538574219],65,[-42 50 -6]
66,7Networks_LH_Cont_PFC,[-30.023319244384766 51.51157760620117 3.818683624267578],66,[-28 58 8]
67,7Networks_LH_Cont_PFC,[-41.147666931152344 38.15004348754883 18.19455909729004],67,[-42 40 16]
68,7Networks_LH_Cont_PFC,[-42.25404739379883 22.779720306396484 27.31839942932129],68,[-44 20 28]
69,7Networks_LH_Cont_PFC,[-40.65616989135742 4.575372219085693 40.91988754272461],69,[-42 6 44]
70,7Networks_LH_Cont_pCu,[-12.044326782226562 -71.81201171875 37.032928466796875],70,[-10 -74 38]
71,7Networks_LH_Cont_Cin,[-3.4614105224609375 -29.261302947998047 27.322429656982422],71,[-4 -28 28]
72,7Networks_LH_Cont_Cin,[-3.192382335662842 3.2843098640441895 30.72832679748535],72,[-4 4 30]
73,7Networks_LH_Default_Tem,[-48.25998306274414 9.70625114440918 -32.21788787841797],73,[-46 8 -32]
74,7Networks_LH_Default_Tem,[-57.97150421142578 -21.79709243774414 -22.874622344970703],74,[-60 -18 -22]
75,7Networks_LH_Default_Tem,[-54.496726989746094 -11.34556770324707 -14.074813842773438],75,[-56 -6 -12]
76,7Networks_LH_Default_Tem,[-54.76690673828125 -33.38557815551758 -8.318166732788086],76,[-58 -30 -4]
77,7Networks_LH_Default_Tem,[-56.91888427734375 -43.59033203125 5.27956485748291],77,[-58 -42 8]
78,7Networks_LH_Default_Pa,[-45.974082946777344 -57.21510696411133 13.607592582702637],78,[-48 -58 18]
79,7Networks_LH_Default_Pa,[-42.0283317565918 -76.91967010498047 26.682653427124023],79,[-38 -80 32]
80,7Networks_LH_Default_Pa,[-56.377777099609375 -54.35040283203125 23.89443016052246],80,[-58 -54 28]
81,7Networks_LH_Default_Pa,[-42.06177520751953 -66.37701416015625 34.23396682739258],81,[-46 -66 38]
82,7Networks_LH_Default_PF,[-35.24229431152344 21.30252456665039 -13.272550582885742],82,[-34 20 -14]
83,7Networks_LH_Default_PF,[-3.9167304039001465 34.61179733276367 -12.090062141418457],83,[-6 36 -10]
84,7Networks_LH_Default_PF,[-45.90196990966797 31.8988037109375 -6.630694389343262],84,[-46 30 -8]
85,7Networks_LH_Default_PF,[-14.567909240722656 60.137779235839844 -9.299406051635742],85,[-12 64 -6]
