glasser_roi,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
Area_p32_prime,0.0,0.0,0.0,0.0,0.0,0.0,0.04025693704002289,0.012560128273650453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_a24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006332692525161145,0.0,0.0,0.0,0.0,0.0,0.06727358047864852,0.0
Area_dorsal_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026084256288168926,0.0,0.0,0.0,0.0,0.004503930316549819,0.0,0.0,0.030910217648494866,0.001391810972649296
Area_8BM,0.0,0.0,0.0,0.0,0.0,0.0,0.0008803428703810956,0.047469856641032954,0.0,0.0,0.0,0.004801207160657537,0.05027888761422525,0.0,0.0,0.0004934877244928532,0.010325071233800056
Area_p32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021791814498148473,0.0
Area_10r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009486585967442035,0.0,0.0,0.0,0.0,0.0,0.03533023220776286,0.0003244751614263928
Area_47m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5697894619583375e-05,0.025838966441342343,0.0,0.0008258703899656749,0.0,0.0,0.0,0.002666821265000869,0.018213183823773346
Area_8Av,0.0,0.0,0.0,0.0,0.0,0.0005618678986140592,0.0001857829590580804,0.00023793661368611403,0.0,0.0,0.0,0.0031167640655437147,0.054465453680580325,0.002240766496677484,0.0,0.006639004149377593,0.02252431951391659
Area_8Ad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007806991034552232,0.0,0.0,0.0,0.0,0.006232600656500603,0.0,0.0,0.03855288594310964,0.0003818372736818659
Area_9_Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012980751400066758,0.0,0.0,0.0706739647628396,0.06619467995221863
Area_8B_Lateral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036024496657727253,0.0,0.0,0.018772151673286195,0.06956683053520081
Area_9_Posterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021967478032521966,0.0,0.0,0.0,0.0,0.00041640641265875496,0.0,0.0,0.02641530316725388,0.02661354581673307
Area_10d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027873170406428168,0.0,0.0,0.0013449899125756557,0.0,0.0,0.09559562205890128,0.004718281810104476
Area_8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010171905197843556,0.0,0.0,0.0,0.04387872272849429,0.028146596858638743,0.0,0.0,0.0,0.0008964302865375379
Area_44,0.0,0.0,0.0,0.0,0.0,6.506180871828237e-05,0.010630911049922184,0.039428459196700384,0.0,0.0,0.0,0.019036821842745456,0.0005289067903494853,0.0,0.0,0.0,0.027646451047308934
Area_45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02288467329117736,0.0,0.0,0.0,9.648086060927664e-05,0.0009528149467666432,0.0067487767842078624,0.0,0.0,0.038001206387504365
Area_47L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005027187852672617,0.0,0.0,0.0,0.0,0.0,0.0003502013657853266,0.0,0.0009702397611717511,0.04573985257668909
Area_anterior_47R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005496015388843089,0.0,0.0,0.0,0.0039757040309221425,0.10100971321073444,0.0,0.0,0.00020592020592020592,0.03430418774508336
Rostral_Area_6,0.0,0.0,0.0,0.0043886644009740695,0.0007987645774535385,0.012314635718891036,0.05199191342609109,0.011167463181507851,0.0,0.0,0.0,0.056922968629015226,0.0,0.001045520347434454,0.0,0.0,0.0
Area_IFJa,0.0,0.0,0.0,0.0,0.0,0.0,0.0002114779666393508,0.0,0.0,0.0,0.0,0.036403405983907504,0.0,0.0,0.0,0.0,0.0030696339795135297
Area_IFJp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030329449684288395,0.0,0.0,0.0,0.0,0.0
Area_IFSp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.275931201857128e-05,0.0,0.0,0.0,0.041553840313804886,0.0,0.0,0.0,0.0,0.01726340616503423
Area_IFSa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.034917215640107205,0.0,0.005863250947140537,0.0,0.0,0.01122644886271192
Area_posterior_9-46v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012824336415150612,0.0,0.0,0.00037039323415025615,0.05577993929689554,0.011302453659939992,0.0,0.0,7.293547034261436e-05,0.005080306711684706
Area_46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0577095584570916,0.0,0.0,0.001615408511960236,0.021514650566616354,0.004159973639770996,0.0,0.0,0.008768885072800017,0.0
Area_anterior_9-46v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031234206004245427,0.0,0.0,0.0,0.028849656378251046,0.02941789241218384,0.0,0.0,0.0,0.0
Area_9-46d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07984022092908571,0.0,0.0,0.0008475089291119316,0.0,0.0015107590543464947,0.0,0.0,0.0026829577796711563,0.0
Area_9_anterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03981400755594304,0.0,0.0,0.0,0.0,0.010700349973852528,0.0,0.0,0.008873146210128982,0.04258356870169776
Area_10v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15304660692274377,0.0,0.0,0.0,0.0,0.0,0.02036537885594489,0.004042755198921932
Area_anterior_10p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04452931067405003,0.0,0.0,0.05321925133689839,0.0,0.0,0.0,0.0
Polar_10p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077948509209321,0.0,0.0,3.996323382488111e-05,0.0,0.0,0.0008181122948049869,0.0
Area_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016870722066904462,0.0,0.09545872653561818,0.0,0.0129933409127822,0.049080492006891296,0.0,0.0,0.0010338865220413912,0.001732726878925709
Area_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014266788953429125,0.00010520778537611782,0.1321137461734223,0.0,0.0004405394160405296,0.0,0.0,0.0,0.0,0.003974486361742364
Orbital_Frontal_Complex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17046691965022273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_47s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036280020439448126,0.011659807956104253,0.030887744898337097,0.0,0.0,0.0,0.0008697164724299878,0.0,0.0,0.0378576245063096
Area_Lateral_IntraParietal_dorsal,0.0,0.0,0.0,0.0,0.0001225865767698437,0.0,0.0,0.0,0.0,0.0,0.0,0.013053514101509643,4.493372275893058e-05,0.0,0.0,0.0,0.0
Area_6_anterior,0.0,0.0,0.0009893643334157804,0.0,0.001960463976474432,0.09414336822578509,0.0,0.0,0.0,0.0,0.0,0.02292579031756288,0.001728181705962227,0.0,0.0,0.0002555350721886578,0.0
