2 48 7 66 337 2250 10144 145 583 2348 906 91 14544 15 114 11134 3 8 17 10 705 3 176 6 890 191 14 220 530 239 20 14 891 28 90 1 3 5 19 43 3 8 7 10 12 14 0 34 5 10 6 2 1 1 1 27 2 5 4 42 0 13 51 83 9 3 2 0 1 4
0 19 22 2604 3 1 1 10 9 9 2 4 1 0 2 3 49814 69 2 4 0 9910 4442 23983 1474 24 33 11883 1060 17 18 0 1 9 111 1 26 419 444 4 2 15 88 25 86 3 3 7 1 22 16 10422 101 4 8 2 1691 974 8327 1026 4 46 3848 1222 85 392 0 0 17 65
313 4 12460 59 31 9 234 988 4293 29 235 1090 73 12 2099 8 69 29953 1921 14571 16 1641 13 13977 217 2 4804 13160 638 4123 6901 16 100 316 9346 0 46 219 45 2 0 0 9 12 19 3 7 2 2 7 0 135 40 4 16 0 77 27 139 82 5 106 1338 105 15 39 2 0 1 8
7 3 187 25 37 4 132 88 201 35 288 12951 312 102 96 17 2 1921 7757 12017 48 54 8 168 157 43 1933 1049 116 334 130 118 126 12 1944 1 8 4 30 1 0 1 3 5 4 0 24 3 112 0 0 9 5 16 15 1 6 4 6 30 51 251 413 31 2 7 52 0 1 6
61 19 2379 35 28 4 145 222 1002 40 253 6377 210 9 450 10 4 14571 12017 29513 48 291 29 1050 147 5 10918 5630 218 906 754 46 63 56 7315 1 67 90 43 2 0 2 11 3 21 1 10 0 14 4 0 26 59 25 58 0 21 26 29 53 81 557 1576 35 8 12 22 0 2 7
13 12 13 31 25019 41 1035 216 1431 997 22697 250 33862 20 475 705 0 16 48 48 19698 7 39 15 5820 22 37 69 4929 1008 80 11 111 86 260 2 0 0 30 307 2 103 53 103 71 243 15 229 1 74 25 4 0 1 0 169 3 1 2 263 1 1 9 703 116 14 0 10 2 50
44 6 1251 653 10 3 56 2137 1034 18 144 79 14 11 546 3 9910 1641 54 291 7 82344 482 45367 463 40 363 1490 16593 1752 28099 2 27 641 12153 5 2 113 374 5 6 12 99 54 154 18 20 4 4 100 29 2999 110 6 18 7 3331 162 2011 1656 2 64 331 2801 490 1751 0 5 129 166
0 5776 10 1283 204 6 11 17 21 3805 15 86 74 173 24 176 4442 13 8 29 39 482 8239 207 8020 2436 141 9788 1041 60 25 82 7 16 36 2 41 205 507 3 1 1 15 9 30 3 20 1 60 5 1 740 24 9 5 0 183 205 407 220 15 118 2055 234 37 76 18 2 9 9
183 3 20839 245 17 4 147 4190 3405 32 391 188 40 2 1812 6 23983 13977 168 1050 15 45367 207 130067 1461 5 2311 17667 14437 2187 13487 10 74 234 13055 3 51 900 173 5 2 10 131 41 89 11 7 12 1 37 16 10058 181 6 16 4 1242 534 9100 1035 5 65 6119 1030 95 285 0 3 24 74
125 1708 130 2722 9410 64 871 4239 3873 15973 2426 779 4385 188 1909 890 1474 217 157 147 5820 463 8020 1461 59774 1809 313 7909 19306 5270 1470 140 323 980 1611 43 46 193 890 499 9 180 251 462 638 404 192 393 68 458 59 831 88 16 19 272 796 157 622 3275 27 234 2071 3696 1039 724 15 74 74 382
0 2094 4 4174 78 9 20 5 26 1658 18 1802 56 7238 24 191 24 2 43 5 22 40 2436 5 1809 12713 183 8442 140 48 7 320 32 2 80 2 6 8 553 3 0 0 2 1 10 4 420 1 1749 3 0 4 4 44 26 2 2 4 5 19 548 1582 2665 17 7 3 736 0 0 6
