label,ED,SC_W,SPE_W,COM,SI,NAV,DIF,response
7Networks_LH_SomMot_12-lh,17.688633994253912,3989.0165467836505,12161.450525112577,0.13209415513877348,4.03945248656338,0.05653347795679679,0.0055797085105907755,1
7Networks_LH_SomMot_13-lh,22.717852881412075,4821.787553430436,4821.787553430436,0.12402653102207947,3.7659175068108315,0.044018244383394516,0.0028822224540101535,1
7Networks_LH_SomMot_14-lh,29.859406814674706,54.24441294890104,5773.2227236114695,0.010483991022822662,10.239867233295966,0.033490283521256686,0.004184069011449743,1
7Networks_LH_SomMot_15-lh,44.29234219305338,1.0,3027.578826832742,0.006206656702494168,16.001269879086042,0.02257726619290943,0.007476654917907692,1
7Networks_LH_SomMot_16-lh,28.422301495794187,67.99947605004331,3862.731916079989,0.025503040991038357,9.91381815405506,0.03518363916264754,0.0012423270214294427,1
7Networks_LH_SomMot_2-lh,51.891846483796556,1.0,2176.801029104167,0.0026585168904928558,16.001269879086042,0.0192708501963262,0.003447907933108411,1
7Networks_LH_SomMot_3-lh,38.95082117669517,574.6723199458962,2772.409662134026,0.018658600810419358,6.834674128285746,0.025673399681707204,0.003633662870844369,1
7Networks_LH_SomMot_4-lh,51.065599790839414,1126.5329394854305,3285.5573636888194,0.035447219080563794,5.863596096263384,0.01958265454818742,0.004541618387331103,0
7Networks_LH_SomMot_5-lh,32.26316653477894,1.0,2982.782104268217,0.011409493486660404,16.001269879086042,0.030995097735432242,0.002532625480503589,0
7Networks_LH_SomMot_6-lh,32.51002436497288,4677.410856361044,4677.410856361044,0.12069521336128432,3.809775436053856,0.03075974317255281,0.0035143475325481997,0
7Networks_LH_SomMot_7-lh,19.769212027412614,3697.0851837926275,6278.286375784509,0.10602994193456955,4.149097309670942,0.05058370554240444,0.004029245053327214,1
7Networks_LH_SomMot_8-lh,39.40081740919135,1.0,2419.7768581292817,0.000538525610052965,16.001269879086042,0.025380184111782462,0.0034695382016304817,1
7Networks_LH_SomMot_9-lh,0.0,0.0,inf,0.0,,inf,0.0,1
7Networks_LH_Vis_1-lh,66.71916826582573,1.0,1354.8364732386137,4.7295916242034826e-05,16.001269879086042,0.014988196435779172,0.003059278655589834,1
7Networks_LH_Vis_10-lh,72.79762514196861,1.0,1559.891650445881,4.654447515456763e-05,16.001269879086042,0.013736711850830547,0.005127583316474544,0
7Networks_LH_Vis_11-lh,70.82422037628008,1.0,1593.0165426023718,0.00011765802080026371,16.001269879086042,0.014119463577390998,0.003749742454073517,0
7Networks_LH_Vis_12-lh,66.50993504475782,1.0,1503.1947469867594,4.195603019294466e-05,16.001269879086042,0.015035347716503566,0.0030149887661117918,1
7Networks_LH_Vis_13-lh,75.50640014215877,1.0,1602.3968958745772,0.00014527748413514267,16.001269879086042,0.013243910425040289,0.0065989262836340205,0
7Networks_LH_Vis_14-lh,70.78291556754483,1.0,1701.8543099518508,0.00018690803721513406,16.001269879086042,0.01412770287832728,0.004620586775764445,1
