20 381 1 4 1 4 2 0 1 14 46809 21 12 5 111 29 6 6 791 22927 405 8831 410 42 89 8 72 6 20 341 7 0 39 360 15 65 187 169 0 1 41 431 5097 193 32321 5 0 16 418 6 47 15 31 6 14 13 287 343 4189 39 53 640 1 13 2 5249 59 3 12 4 0 1 58 170 37 0 64 2 0 0 2 5 8 2 9 497 2 0 1 17 27 0 6 540 822 117 175 21 9 68 3 127 0 7 172 2 0 0 16 3 11 61 38 0 1 3 74 651 60 400 2 0 6 49 0 20 17 1 1 1 0 61 160 330 10 19 62 0 1 1 974 62 0 0 4 3 15 21 30 6
129 16 108 4663 35 104 249 45 8 6 21 6095 624 7446 5057 8126 1800 1922 222 38 199 24 9 309 304 8121 132 605 2602 231 7 1 172 1146 16 1089 1317 1156 160 824 3004 225 23 350 22 1291 145 499 1335 10460 171 2 6766 155 3069 175 156 10 44 27 347 88 282 9 15 31 165 387 6363 1248 3 15 171 849 164 11 0 144 26 29 40 332 51 12 4 3 151 9 19 1143 2129 5 11 11 5 5 0 2 8 25 115 51 109 214 97 1 1 1 7 0 6 18 10 1 5 15 18 0 0 0 138 66 3 7 37 1 0 61 70 233 2 16 0 8 3 3 1 2 0 0 8 89 71 47 145 2 17 5 21 3
1268 15 23 59 183 31 23 4 3 1 12 624 2175 3992 676 581 200 859 51 9 53 112 4 3866 84 141 26 76 262 32 11 0 20 108 23 67 89 97 1342 65 225 107 81 209 57 236 6 2045 482 973 6 5 1175 38 117 25 23 10 22 8 17 48 550 17 696 8 27 14 62 74 4 3 15 117 20 20 0 14 2 49 43 24 3 0 1 0 29 2 13 162 243 0 1 5 5 1 0 0 14 12 9 11 10 25 29 2 1 0 1 0 3 1 1 0 1 1 12 0 0 1 14 3 1 3 5 0 0 17 45 51 0 5 0 4 0 2 1 2 6 0 8 17 7 5 4 11 5 0 1 1
414 12 64 195 126 166 208 30 9 11 5 7446 3992 7792 2518 3183 226 957 58 11 71 51 4 2309 119 919 44 211 584 76 10 0 59 601 11 463 479 497 1770 2153 1138 83 39 167 34 521 52 1134 653 2769 66 2 4039 185 1005 91 40 7 17 11 136 46 1664 8 68 10 134 73 602 163 4 19 63 367 71 32 0 50 7 100 115 257 23 4 2 1 182 8 77 1052 1607 3 20 6 3 8 1 2 20 15 40 18 37 83 31 1 0 0 3 0 4 8 6 2 7 12 16 0 3 1 47 31 3 9 28 1 0 124 186 361 2 6 0 12 3 1 1 6 4 2 4 83 23 24 49 7 10 3 19 1
5035 84 121 216 1444 438 424 160 33 26 111 5057 676 2518 34344 20473 293 787 1583 258 786 101 21 2343 1811 684 514 319 4180 572 58 2 30 460 21 185 1693 1524 79 89 348 431 70 456 96 1615 243 299 846 497 229 2 28798 13651 28943 196 809 76 353 232 973 364 3737 26 28 186 550 405 7218 10116 21 89 236 1355 26 369 3 132 53 1017 947 1044 201 38 25 3 1073 82 572 7140 11108 18 55 43 31 42 1 5 206 116 96 50 32 476 115 40 3 1 38 1 41 77 94 32 56 65 141 10 5 4 68 103 23 31 189 20 1 890 1465 1879 18 43 4 32 22 32 13 75 34 24 28 488 45 350 364 103 45 34 156 8
2169 18 10243 924 2430 14573 8331 9322 832 438 29 8126 581 3183 20473 74371 514 1130 331 86 113 124 95 1097 463 583 898 341 8935 5277 2354 27 24 178 23 134 299 317 171 264 327 2467 70 222 257 2553 8922 387 741 1240 41 0 3123 3380 12605 44 278 10 69 31 126 62 417 474 50 145 11540 890 4722 9622 2013 1481 35 277 20 1721 2 5196 279 3159 3585 2986 2309 94 43 19 1809 281 956 12845 35290 48 113 115 66 91 6 16 1418 195 174 208 185 9995 319 493 35 1 44 6 69 153 152 56 83 113 534 17 33 13 812 772 64 55 436 31 2 1233 1973 2676 22 114 6 103 34 63 22 159 786 232 65 2453 182 885 4509 1342 98 55 267 14
102 1 41 1366 56 15 10 3 2 1 6 1800 200 226 293 514 1964 1748 27 6 19 17 9 212 80 1054 78 326 733 42 7 0 41 112 189 67 35 62 49 2 917 179 16 608 10 539 17 239 2013 1721 8 1 62 31 92 17 25 2 7 3 4 15 22 6 23 10 35 110 76 241 2 1 8 41 17 4 2 28 1 4 0 7 8 1 0 1 9 1 1 45 82 0 0 2 0 2 0 0 4 3 17 6 16 63 15 1 0 0 3 0 2 1 4 0 0 2 1 1 3 1 23 12 1 0 1 0 0 1 4 5 1 6 2 1 0 0 0 0 1 0 1 9 4 5 20 2 2 0 3 0
356 13 31 553 135 15 30 7 3 1 6 1922 859 957 787 1130 1748 2680 43 14 23 69 10 849 94 319 32 111 705 45 9 0 22 81 47 40 32 62 260 9 360 217 51 275 23 342 20 2463 637 4031 1 1 191 68 258 20 29 11 12 6 10 27 70 19 71 7 28 27 77 277 2 12 4 60 10 8 0 25 6 19 15 20 4 1 0 0 8 0 9 88 159 2 2 4 2 3 0 0 4 11 4 21 9 56 25 3 0 0 1 0 3 6 2 1 2 2 5 5 0 1 8 5 3 0 2 0 0 9 20 19 0 3 0 6 0 0 1 1 2 0 10 9 3 4 13 4 2 3 5 0
110 13185 8 45 19 8 5 5 5 54 791 222 51 58 1583 331 27 43 26833 2598 7529 820 188 148 2564 95 1231 94 484 954 35 1 172 1110 47 220 1550 6575 10 2 200 752 10230 716 1045 159 3 74 1577 23 273 216 311 124 332 110 4364 20033 14165 10340 2896 2404 27 32 15 1434 133 38 145 176 1 5 866 4957 145 4 74 27 7 3 6 19 24 5 7 258 10 1 1 85 183 1 12 676 629 136 43 12 29 178 16 246 11 105 399 1 1 3 32 15 17 110 78 0 0 20 82 646 95 200 23 13 24 132 2 42 14 3 8 16 2 122 177 344 17 20 31 0 7 15 719 33 11 6 54 4 24 45 86 27
22 827 4 7 3 5 1 4 14 41 22927 38 9 11 258 86 6 14 2598 8197 551 1316 205 35 562 14 704 11 41 693 7 1 56 454 22 92 181 247 1 1 72 345 10002 166 9652 17 1 13 537 5 43 24 60 20 58 18 5545 951 9547 104 81 334 6 5 4 3420 80 2 32 19 0 15 35 276 85 0 53 9 0 1 2 4 9 1 10 253 4 2 0 26 54 0 7 423 484 72 48 13 10 85 7 151 2 25 259 3 0 3 30 2 26 76 52 0 0 14 75 380 50 207 5 2 4 72 2 31 11 1 5 2 1 63 113 251 9 15 23 0 3 5 651 31 4 5 9 1 24 25 44 21
