label,response,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF
L_10v,0.212,30.47044356420373,0.008122684280711844,44.62195999999999,0.02241049026084915,0.008278749372629561,0.021550137086172382,6.367737725015483,6.367737725015483,0.02241049026084915,0.002496454444943779
L_a10p,0.022,55.85820690688681,0.0,inf,0.01440798786374605,0.006727953949520536,0.0015610510860871168,inf,11.125204831764078,0.01440798786374605,0.001841024349328824
L_10pp,0.024,41.097901927008905,0.0,inf,0.016236976726891776,0.008272649315901038,0.0025983845634061347,inf,13.940957599536688,0.015492908431023867,0.0025127866058153895
L_11l,0.091,37.82270555415096,0.0,inf,0.016550235758108375,0.006615419765815048,0.001706883863270859,inf,13.623455326935703,0.013109682012536332,0.001974444274644525
L_13l,0.354,34.97729764765239,0.0016251758036923566,48.67998000000001,0.020902529415084522,0.009353054691114259,0.008411657318955323,8.689098504222892,9.417875695960996,0.02054232561311652,0.002552906942736101
L_OFC,,47.05919406080767,0.0007400606034386563,60.494540000000015,0.018445175037333037,0.009022703042050873,0.005769307813868078,9.823978971861223,9.81181670755211,0.016530417455856344,0.002961331126464213
L_47s,0.167,52.08341006038022,0.0,inf,0.015012909600965874,0.007282064145822407,0.0017782027996760311,inf,14.194935101916574,0.01275957440184391,0.0028318460042685376
L_LIPd,0.102,43.96486717246471,0.0004893801386126572,62.749019999999994,0.0175435888007343,0.00820625032346897,0.0037003110134152637,10.420666838356805,11.076620803231107,0.015936503868905046,0.0021305446471753297
L_6a,,88.33942669089613,0.0,inf,0.010096221024855282,0.005731384497835446,0.00043802401032920154,inf,18.247543741253306,0.006509182822434323,0.002706952179231492
L_i6-8,0.152,72.33729487095663,0.0,inf,0.011516343072781444,0.006128655280510682,0.0006394094216610591,inf,16.077255880516706,0.009048779618239225,0.0019171286771701745
L_s6-8,0.108,59.325679595337476,0.0005823985833921167,89.71204000000002,0.012887139330853333,0.006278133130051252,0.002945433525879781,10.169615543120132,13.240432425666969,0.011146775839675474,0.0032117078445204634
L_43,,92.37103051146158,0.0,inf,0.009249021962172612,0.005130155936984769,0.00018023431079854194,inf,20.561490748179853,0.007380208030351876,0.0016892870896104003
L_OP4,0.007,100.09606517171713,0.0,inf,0.008211310521874769,0.0048968234544164374,8.488595393291347e-05,inf,18.221748508311347,0.006636817114658212,0.0017543831839647633
L_OP1,0.042,84.5846210748304,0.0,inf,0.00993704682097973,0.007085992808063151,0.0008961645286632261,inf,16.279462614168754,0.00834854577515997,0.0037513607812207452
L_OP2-3,,107.5502904346583,0.0,inf,0.007722357166123503,0.005568508148993333,0.00011818640370350825,inf,22.031326140437557,0.0060786137441481555,0.0027668716438394173
L_52,,62.37213840311497,0.0,inf,0.015036092636765294,0.005172893893166908,0.00030696911234997815,inf,12.939263160663423,0.015036092636765294,0.0018430451040082941
L_RI,,58.36365787673246,0.0,inf,0.01214660367599955,0.00587728291322407,0.000765949924886649,inf,12.036608222456818,0.009759004296678479,0.002665348757105162
L_PFcm,0.173,41.135140253141465,0.0,inf,0.01715482434832253,0.006791240908132319,0.0015195191847556585,inf,12.736286659240982,0.012440593057999787,0.0016699182331820271
L_PoI2,0.235,30.679979765512964,0.00046136175262279013,58.30402083333331,0.019060783695558112,0.007323578984085343,0.004820108620626149,10.505723981461731,11.46138811752096,0.01715147575942626,0.0024775071576316815
L_TA2,,84.19476818084361,0.0,inf,0.009461934924059456,0.005338924311948879,0.00020144403642442262,inf,16.865328960462495,0.00509826760434224,0.0017439936726203944
L_FOP4,,92.59916137067731,0.0,inf,0.008954199627075495,0.004826921338338174,7.399988681719163e-05,inf,18.36983572597649,0.006800287498570857,0.001264079573182611
L_MI,,82.43941847721264,0.0,inf,0.010273792459529477,0.006019462069638649,0.0001636223737773401,inf,14.125321867151154,0.007240078992157838,0.0020408631106484687
L_Pir,0.194,60.29532272204043,0.0,inf,0.013628924721452038,0.006022491839996331,0.0010686986810459617,inf,14.080703141209165,0.009304872086853908,0.0020493553405212615
L_AVI,,74.62697842949693,0.0,inf,0.011909905849812278,0.006095542188147029,0.0007565615758576687,inf,14.416320827151795,0.007201483390354678,0.002906596192030049
L_AAIC,,0.0,0.0,0.0,inf,inf,0.0,,,inf,0.0
L_FOP1,0.399,10.973638624972947,0.048030565726112834,29.735419999999998,0.03362992686836103,0.048030565726112834,0.11161731591709606,3.803813398318822,3.803813398318822,0.03362992686836103,0.003319212660210308
L_FOP3,0.486,32.182339427010746,0.030993785977719505,20.543200000000002,0.048677908018225004,0.030993785977719505,0.08777871095816236,4.435787204794225,4.435787204794225,0.048677908018225004,0.002123655173281041
L_FOP2,0.37,23.218667612516548,0.005048588817596538,25.185859999999998,0.03970481849736321,0.015781335848911487,0.023467405383868014,7.053814112756748,7.053814112756748,0.03970481849736321,0.002054107987284883
L_PFt,0.38,23.204290240949092,0.004995760861686791,33.917120000000004,0.02948363540300591,0.011426959309559271,0.016446490045692024,7.068989875291276,7.068989875291276,0.02948363540300591,0.0027655310515677873
L_AIP,0.623,36.53726323703859,0.01703615122664739,32.72240000000001,0.030560105615725,0.01999017197591007,0.05365008228984574,5.299166758135585,5.299166758135585,0.030560105615725,0.002229040502664251
L_EC,0.603,23.7739303065321,0.03446545903180891,22.946199999999994,0.04358020064324377,0.03446545903180891,0.07864887819426315,4.282614969592286,4.282614969592286,0.04358020064324377,0.0031986608129500843
L_PreS,0.54,30.713321800342907,0.0026415184036440212,40.758299999999984,0.02453488001216931,0.01547929970454194,0.013288543994696856,7.98832683332504,7.98832683332504,0.02453488001216931,0.0020587334599315886
L_H,0.328,34.57855775805216,0.005928295492107649,49.11194,0.020746259553133868,0.013136128190360042,0.01897111709671708,6.82207693495778,8.69228365545565,0.020361647289844385,0.0037330754815316563
L_ProS,0.27,29.10616692840846,0.004179121273026613,55.234339999999996,0.01810467908189,0.018558036565252966,0.0178556374861156,7.3264946700812095,7.3264946700812095,0.01810467908189,0.0036052770101732087
L_PeEc,0.375,19.617897110141783,0.04006117048395548,42.00244,0.023808140669922987,0.04006117048395548,0.08831103618230152,4.065561626130344,4.065561626130344,0.023808140669922987,0.004361902532488005
L_STGa,0.357,16.57638573333595,0.022185980895839914,32.69668,0.030584144934592748,0.02972321787096016,0.055732956571563644,4.918117860117484,4.918117860117484,0.030584144934592748,0.0036348401480656538
