label,response,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF
L_a10p,,103.35332619328362,0.0,inf,0.00861753557906272,0.00511670896913451,0.00023787641928626804,inf,18.390436442339126,0.007780092837021588,0.0022242880877459633
L_10pp,,112.1954371231557,0.0,inf,0.007349470886991618,0.005157617327528819,0.00010303545412055647,inf,22.36289138631399,0.006002301860714311,0.0023919256989010664
L_11l,,98.66052242233938,0.0,inf,0.008084989408663874,0.005411011983031743,0.0001767434184755302,inf,15.644376460968976,0.006735206825404715,0.0021736999355270134
L_13l,,90.26101588282461,0.0,inf,0.009307782106310137,0.005467243713857125,0.00014640008556485388,inf,15.127424155402604,0.0067040637218575136,0.001799405945903844
L_OFC,,97.4393620339284,0.0,inf,0.008769392854593468,0.006168129043515004,0.00010816949439360916,inf,13.93726599187628,0.005916368580296362,0.0031926041176061123
L_47s,,84.56949527379098,0.0,inf,0.00922261303557328,0.005194082036134288,0.0006324581288260411,inf,21.37147024914977,0.006926089345721429,0.0028100868576263656
L_p10p,,101.29390874082591,0.0,inf,0.008089290232732117,0.005431433313900081,0.0002930483193147149,inf,18.132424513568623,0.007462794019577615,0.002328578929397786
L_PoI2,0.087,55.694183073989066,0.01128050292229451,63.80932,0.015671691846896346,0.016429437968958314,0.034233885389539365,5.390878699076007,5.390878699076007,0.015671691846896346,0.0036739860495491185
L_FOP4,0.081,59.09934110176498,0.000981795899609678,76.75125999999999,0.013938607126140774,0.0064441682260689805,0.005475426797591395,8.913143136740258,15.506048967739126,0.013029102062949847,0.0026141116123399298
L_MI,0.031,60.48564425366684,0.0008536760320526515,79.28522000000001,0.014434021797682361,0.008447436985866209,0.005499503612443794,9.114877603659643,15.574733040782954,0.012612691243084145,0.0023871051051959848
L_Pir,,75.55001985704281,0.0,inf,0.01241707258076933,0.007302126235102943,0.0007625242412039922,inf,10.703637246924858,0.009040746100228965,0.0022770549319489353
L_AVI,0.028,73.661610715915,0.0,inf,0.010998508382293196,0.005103201808683146,0.0010419389976933549,inf,20.39241836807642,0.009908261389447384,0.0015241804598365724
L_AAIC,0.014,72.94746942190952,0.0,inf,0.011112432255834862,0.005121719566892644,0.0009931446459419408,inf,20.5812473222037,0.01000062403894003,0.00242352895588116
L_FOP3,0.115,47.070840649582735,0.0008790484449848166,66.57936000000001,0.015106725997829463,0.006939000316413885,0.005954164368743731,9.072623602649784,12.507368080926774,0.015019669759517061,0.0014377459240190228
L_FOP2,0.219,42.17598153670002,0.0008122033952877168,60.3324,0.020130874843532782,0.010220404097771505,0.007485356520670351,9.186725219925815,10.928498326285972,0.01657484204175534,0.0016790838582292152
L_PoI1,0.096,55.998536855198275,0.004468799548726001,64.06401999999999,0.01560938573633063,0.007514360883113692,0.015145406800254979,6.726750850229085,6.726750850229085,0.01560938573633063,0.002767610747992238
L_Ig,0.236,38.00627509063762,0.0023686817750291633,51.48931999999999,0.019716686981426496,0.009583595827208875,0.014267498479359188,7.642553793230894,10.489567016447038,0.019421503333118404,0.001278379728225036
L_FOP5,0.044,69.14833445384652,0.0,inf,0.010954288226034085,0.0059196222846659196,0.0010854064084977297,inf,18.338307106325058,0.008124683340466806,0.001323394812265638
L_PI,,70.9543118273575,0.0,inf,0.012200808718405093,0.00578561516092291,0.0005156336949813503,inf,12.178676666532102,0.01132745544118853,0.001978257490477518
R_V1,,92.44508450939095,0.0,inf,0.00797004665187107,0.003374737924079134,4.305558001621798e-05,inf,19.825541283443393,0.007331478361580006,0.002720444290901362
R_V6,,81.52197713664768,0.0,inf,0.008454958894819675,0.0038381615374145457,7.071465199073541e-05,inf,15.42832646635744,0.005179374432376881,0.0014973106924581633
R_V2,,90.0987642557825,0.0,inf,0.007982922931265436,0.0033528831190863155,3.114902016659048e-05,inf,20.04022127363069,0.0072478958685274755,0.002476198698435463
R_V3,,95.60862510469289,0.0,inf,0.007271139201965346,0.003478189595766599,3.583439076809297e-05,inf,15.91548538494505,0.007030904057548793,0.002622373742024177
R_V4,,108.34876519973574,0.0,inf,0.007573288224809122,0.0034856843638361177,1.7623933847825444e-05,inf,22.27407835663893,0.0044627134228289395,0.002770769515873418
R_V3A,,88.45172025006022,0.0,inf,0.007492347270626266,0.0037697160898805867,5.827268963950237e-05,inf,15.32160010815603,0.005184651553614773,0.0025908104452506573
R_V7,,92.97278730303333,0.0,inf,0.008179504627524068,0.003807580496402671,3.585539960121824e-05,inf,17.79735236288023,0.005803497989826573,0.001261300023778661
R_IPS1,,81.7808153575821,0.0,inf,0.008632563895648185,0.004733205685354617,8.583119273118768e-05,inf,16.742089156826804,0.0061789550993491486,0.0020460261297513636
R_V3B,,93.61851741227167,0.0,inf,0.008289660695138203,0.003940451091320623,4.129330874664623e-05,inf,17.29042343554719,0.004782982149512036,0.00218079065386209
R_V6A,,87.0013122074895,0.0,inf,0.007721208868009451,0.004114236962522005,8.542062108284437e-05,inf,15.126074323072626,0.0053262867742928715,0.002584308229772009
R_MST,,105.11886017453823,0.0,inf,0.00675607262832124,0.0032933543264014576,2.9258508099088184e-05,inf,27.909667289040694,0.005512331024585357,0.0014346686249745795
R_V8,,107.39510070469842,0.0,inf,0.007650584789779323,0.003279147546726453,4.002470811528581e-06,inf,22.376244290188286,0.006335931409161654,0.001651665614427633
R_FFC,,111.4296459869136,0.0,inf,0.0072324070355698445,0.0034744080249986087,7.792432255494176e-06,inf,23.850607559259657,0.005833951051517172,0.002308908740390226
R_LO1,,111.10057419483664,0.0,inf,0.007007425293445847,0.0032528420922893434,7.297142416406284e-06,inf,24.990026584611616,0.00456466266481031,0.0017845249615263228
R_LO2,,117.91155831848174,0.0,inf,0.0070112189318616265,0.0031884457891872284,9.461908558862905e-06,inf,18.70825480574288,0.0048398548014768625,0.001856793079493833
R_PIT,,119.9024564607162,0.0,inf,0.007049208284913348,0.003298460175724747,1.039621758839344e-05,inf,23.659227654919018,0.004785577352766551,0.0022999289007890897
R_MT,,110.40931736374024,0.0,inf,0.006784016191081934,0.0033476367198927493,1.5090340554855657e-05,inf,25.906715056718028,0.005328617188315518,0.0019106433141287788
R_A1,,93.25169273546418,0.0,inf,0.008321599877506051,0.003556760284686049,0.00010936196467159404,inf,17.806555924009235,0.006378804672020697,0.0013311536740295133
R_52,,92.38533385035703,0.0,inf,0.0080735102799199,0.003584881329910443,0.00018578002244663014,inf,17.077181740352728,0.006242085682804581,0.0008484889931458594
R_RI,,89.43041020394526,0.0,inf,0.008887098829693503,0.004683536692680358,0.00028611383126987856,inf,17.715356225748387,0.007191520104685521,0.0018251176037590367
R_PFcm,,92.20446118897549,0.0,inf,0.008919478338957659,0.004901949452603431,0.00037789116767627477,inf,17.453160831050635,0.0076100500756515095,0.0012924355153167478
R_TA2,,111.30489529657919,0.0,inf,0.0068286476518875615,0.003605828840664296,3.1817032224297446e-05,inf,21.09472719258498,0.004040836369079003,0.0014596463148674815
R_EC,,99.28840876130299,0.0,inf,0.008327598393906063,0.00423610885037342,2.830473924765061e-05,inf,16.28762268803398,0.006404904196018906,0.0014554259456255507
R_PreS,,86.02553751836169,0.0,inf,0.009994283269969576,0.004508816353666428,0.0001449183434827048,inf,13.938574677969319,0.009994283269969576,0.0019339375403922897
R_H,,97.79733140453038,0.0,inf,0.00975080984741762,0.0038241651747692104,2.9230897770201713e-05,inf,16.70193120179641,0.00975080984741762,0.000735869028023308
R_PeEc,,110.25593711327812,0.0,inf,0.007807604388061048,0.004037732299835321,2.0145022666494374e-05,inf,17.82138051638452,0.005754601454741273,0.0021318292663283145
R_STGa,,121.39881416618609,0.0,inf,0.0068213575864731705,0.0035416039244063357,1.6077672106325895e-05,inf,27.278711765269335,0.003232889309841866,0.0016699075210459746
R_PBelt,,106.25415756575035,0.0,inf,0.007869155460202375,0.003746682181595123,0.0002594834574328243,inf,15.959932606549758,0.005993488727665348,0.0020377671858719413
R_A5,,115.32699759604876,0.0,inf,0.006662568742718645,0.0037656839383298072,0.00010146729320792843,inf,16.21545962762756,0.0053051273153631355,0.0026133824286428925
R_PHA1,,91.50229497525223,0.0,inf,0.009717649798057518,0.004366988641552962,5.3097206127053255e-05,inf,14.974777171822103,0.00581948738812916,0.0019281533515455404
R_PHA3,,100.9252495143976,0.0,inf,0.008391024423251327,0.0036522097399018624,1.846729813225395e-05,inf,21.521457166735185,0.008341842012185763,0.0014847795313936147
R_STSda,,115.98321819476558,0.0,inf,0.006606464160922897,0.0034747369965556166,5.4809630685162e-05,inf,22.19416908195808,0.004793774918940862,0.0021078247084326514
R_STSdp,,103.48932866823472,0.0,inf,0.007436002416998226,0.0037284030968386616,8.045903832220218e-05,inf,17.30193443024841,0.005777675840186025,0.0019884675855577185
R_STSvp,,114.46126068872982,0.0,inf,0.00717664375642758,0.003806306624988965,6.564610228213136e-05,inf,17.17428639865658,0.005235799554205648,0.001926205454278893
R_TGd,,121.79300315925951,0.0,inf,0.007686574443957848,0.004061935912707878,2.393564079715243e-05,inf,22.775797890192884,0.003320758852981808,0.0032336290571356578
R_TE1a,,128.1938961350431,0.0,inf,0.0063812518141034775,0.0038131822934718224,3.776089214961823e-05,inf,26.312302369735125,0.00415635699631884,0.002554939740174126
R_TE1p,,121.86173129696675,0.0,inf,0.006831600634464413,0.0044027450611917995,0.00012210929309071025,inf,16.03409012737513,0.0051291288974711765,0.0032368116590700885
R_TE2a,,125.93935460790968,0.0,inf,0.006483647980447391,0.003970002858762898,3.4102825232889944e-05,inf,22.603971339267122,0.003932992350762508,0.0028569179620397543
R_TF,,114.78651318164339,0.0,inf,0.007316264098989639,0.003772166104085663,9.910360220422662e-06,inf,20.676373785526096,0.004069786087159515,0.0025144285146768432
R_TE2p,,115.93952964380702,0.0,inf,0.006792934882258739,0.0037402719830024983,1.7765523190150156e-05,inf,24.684353935818653,0.004662880283532964,0.0018584121931739515
R_PHT,,119.19309352056119,0.0,inf,0.007060796565176659,0.004706808639921068,0.00015143101926443322,inf,17.227832476843847,0.005243501387902383,0.003008499368081199
R_PH,,114.85646873504871,0.0,inf,0.006993874624726171,0.003725563640302143,5.6321358777624206e-05,inf,17.583969654929483,0.0047193875745132315,0.0028640545323655505
R_VMV1,,88.58356378347258,0.0,inf,0.00908706608805076,0.003253883076681362,7.199197351136598e-06,inf,19.87272601790413,0.007490555782426919,0.00112716056112583
R_VMV3,,98.75722703176314,0.0,inf,0.008327725997828129,0.003061163694308288,3.9845280271610776e-06,inf,22.764100677497236,0.007344160464618354,0.0011738303565188835
R_PHA2,,96.35357942438077,0.0,inf,0.009150063419089556,0.003912220578375853,2.279923052798197e-05,inf,17.191753281995098,0.009150063419089556,0.0012371877808659698
R_V4t,,114.93157547928791,0.0,inf,0.0066735812912456696,0.0033153715315270677,8.58473443192795e-06,inf,23.044925496382533,0.004925649779404775,0.0017738768876000071
R_FST,,111.70497143779953,0.0,inf,0.007124801313040717,0.003715007700742625,5.0054016630934753e-05,inf,18.493485257016886,0.00551161937550266,0.002063926165233534
R_V3CD,,106.69131011652806,0.0,inf,0.007515729425035521,0.0035881484469816624,1.9389838857538245e-05,inf,18.58653183660386,0.00461656008197567,0.0018992721757734332
R_LO3,,107.87875052163632,0.0,inf,0.006937027134360016,0.0035473725894346283,2.311107070233336e-05,inf,25.41758309737919,0.005041118917589277,0.0024757239935940304
R_VMV2,,93.98843762342969,0.0,inf,0.008813731652895503,0.003471969231194553,1.200677159817175e-05,inf,21.592282124092275,0.008426296291122617,0.0008993394998425011
R_VVC,,101.27967065727893,0.0,inf,0.007660381650782041,0.003474297448194241,5.614963516343024e-06,inf,21.805470637294555,0.0073327835701064705,0.0021894070909011525
R_TGv,,123.91846216586714,0.0,inf,0.0066364212138535356,0.0037729635843882755,8.296989717935699e-06,inf,26.338915412949227,0.0048498618487859725,0.0018973684003506187
R_MBelt,,99.09824683514915,0.0,inf,0.007848004864507336,0.003584978149726036,9.94367600433247e-05,inf,17.491533712193778,0.006106085991127615,0.0013473553567134849
R_LBelt,,97.56354687526645,0.0,inf,0.008393441566202767,0.003290059419054885,0.00010720359920159792,inf,17.928430530181416,0.006380583106620583,0.0009277114146337801
R_A4,,114.63145185789855,0.0,inf,0.007102349400362843,0.003920392529484879,0.00032179300416956006,inf,14.797287052688098,0.005532477934112583,0.0032975936300488383
R_STSva,,119.87882087126951,0.0,inf,0.006405330704101654,0.0035907896354598337,3.774848822875202e-05,inf,29.184054718363566,0.0046829364053021525,0.001974188758577198
R_TE1m,,125.21248430388084,0.0,inf,0.006385903195327154,0.004069350171292672,5.7919332112015256e-05,inf,16.807678617913737,0.0041744086292707285,0.0022852348723930334
R_PSL,,107.53770905301462,0.0,inf,0.008149115780192269,0.005125546203805574,0.00046030676259175744,inf,15.505121147220773,0.007147491780741827,0.002223779510840553
R_STV,,106.45276508219744,0.0,inf,0.007730103139674151,0.0043215997653196945,0.00030411232179144076,inf,15.256703911231774,0.006034250648048349,0.0027778865689958637
R_TPOJ1,,104.00150255302405,0.0,inf,0.007679677576416629,0.004115866815295698,7.82920682310836e-05,inf,17.779174144581045,0.005962342796869818,0.0017269320786778666
R_TPOJ2,,109.45113861016236,0.0,inf,0.007155847049780222,0.0047216980695025295,0.00011613474697088373,inf,18.792402683020537,0.006122112888088389,0.00237787208281457
R_TPOJ3,,98.6127554638588,0.0,inf,0.007049205434943379,0.0038478254586947216,5.803189552196011e-05,inf,25.62220538114064,0.005608914247413416,0.00152804543171765
R_7Pm,,62.84279658263529,0.0,inf,0.008884013342366597,0.005053032845466071,0.0006895239428706095,inf,14.121748807734038,0.007146795026916972,0.0023668408387183364
R_7AL,,71.67893512129282,0.001055642305884882,120.76160000000003,0.008441028191514774,0.007019966847338229,0.004526390951460778,8.808517108939105,18.95732552681582,0.008280777995654246,0.0028872401080812255
R_7Am,,62.44626620353347,0.0009515969350324772,120.36660000000003,0.008683376145272186,0.006288295517046753,0.0039052359300400584,8.95821565311775,14.07385166910987,0.008307952538328736,0.0036078580408131656
R_7PL,,72.60242533400151,0.0,inf,0.008402125737811666,0.005450698084975755,0.000411792143407736,inf,14.96847253827174,0.007207518883699473,0.002908508051182314
R_7PC,,79.88880106593798,0.0,inf,0.008143508158166472,0.007800408020001935,0.0008977325693184797,inf,17.163644526359437,0.007100386687058976,0.002852521547938413
R_LIPv,,75.5774220379336,0.0,inf,0.00860102143132659,0.006298681174119213,0.00031309415385014354,inf,18.309880499477057,0.00690370777433436,0.001711257093701389
R_VIP,,73.76552267967061,0.0,inf,0.00821607623204171,0.005833089707417059,0.0005641440551219459,inf,16.585412469162826,0.007218132989480725,0.0021818986779750275
R_MIP,,80.24079762068624,0.0,inf,0.008549438538131712,0.004938540088022477,0.00024586266370991717,inf,16.56361767490149,0.006512549356983438,0.0025400393744257847
R_LIPd,,77.16257567679786,0.0,inf,0.00843599090667668,0.005640427837927556,0.00025059916471272784,inf,24.298985910054583,0.006494358350900574,0.0012090878113195837
R_PFt,,94.47622857364227,0.000649771123123484,112.55458333333335,0.008884578223158392,0.007795632049608112,0.003059613102913154,9.508634648760903,9.508634648760903,0.008884578223158392,0.001987546226892609
R_AIP,,78.97938162678459,0.0,inf,0.008278305056474523,0.0070656158259362264,0.000835563522077923,inf,18.37580741508708,0.007297726364160341,0.0023385824953289537
R_PGp,,103.3349312777195,0.0,inf,0.007757421098106397,0.0040850926712519275,0.00010616747188689843,inf,16.898746859358823,0.005227097524467521,0.0032935574847927983
R_IP2,,83.78018909669235,0.0,inf,0.008189853295916968,0.0059537924096560715,0.0004992612971778422,inf,18.76204002814588,0.007015656278865041,0.0019326442681916692
R_IP1,,87.23175533686177,0.0,inf,0.00837034574953296,0.004859888694537606,0.00030731928056520954,inf,16.7664221066434,0.006452346389312128,0.002541462788614934
R_IP0,,94.81555215730319,0.0,inf,0.00861586858860601,0.00430618283244152,6.752699038248311e-05,inf,18.375691565502997,0.005447687558775442,0.001592244835030245
R_PFop,,105.58121885936843,0.0009130323162489752,116.83613999999997,0.008558995529978996,0.006950317395129328,0.0035021640271012512,9.017900353691957,9.017900353691957,0.008558995529978996,0.00252874167100641
R_PF,,100.99276390238367,0.0012921283970061034,120.97300000000001,0.008266307357840178,0.006771484786591507,0.004135390365568355,8.516888747511937,8.516888747511937,0.008266307357840178,0.003254513732952845
R_PFm,,95.72338930900739,0.00045557303201801343,124.46199999999999,0.008178924775648003,0.005740169465374348,0.0015542757783685037,10.020883929983373,14.955539595568041,0.008034580835917791,0.004050660681074978
