regionName,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
10v_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530466069227437,0.0,0.0,0.0,0.0,0.0,0.0203653788559448,0.0040427551989219
ProS_L,0.0,0.0709424623633739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132361689470553,0.0,0.0
DVT_L,6.061708189367764e-05,0.0387302365485966,0.0,0.0,0.0051436167138646,0.0,0.0,0.0,0.0,0.0,0.0135491692219924,0.0,0.0,0.0,0.0144736842105263,3.7974443199726586e-05,0.0
31pd_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049817077917023,0.0,0.0,0.0,0.0,0.0180225670505525,0.0
31a_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0006782667675371,0.0020375335120643,0.0,0.0,0.0678579506898891,0.0,0.0,0.0,0.0,0.0123297435798639,0.0
25_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0633350616200694,0.0,0.0,0.0,0.0,0.0,0.0003087670545552,0.0
s32_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358852637084121,0.0,0.0,0.0,0.0,0.0,0.0062399472898862,0.0
pOFC_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015271195365982,0.1028330809293392,0.0,0.0,0.0,0.0,0.0,0.0,6.414573911927901e-05
a32pr_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0008323579139029,0.0556505933924943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003421826640266,0.0
p24_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299780265773778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04179047979559,0.0
4_L,0.0,0.0,0.1178612495208892,0.0729259638200143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3b_L,0.0,0.0,0.077991699331335,0.0290570598369718,0.0,0.0018438844499078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5m_L,0.0,0.0,0.049669749009247,0.0,0.0,0.0001422272791921,0.0050576004495644,0.0001049428061706,0.0,0.0,0.0052560551175509,0.0,0.0,0.0,0.0,0.0,0.0
5mv_L,0.0,0.0,0.0051248357424441,0.0,0.0,0.0091217649554518,0.0285430817370067,0.0043891733723482,0.0,0.0,0.0116581220591333,0.0,0.0,0.0,0.0,0.0,0.0
23c_L,0.0,0.0,0.016237901171676,0.0,0.0,0.0,0.0486630086649949,0.0060136581388237,0.0,0.0,0.0777273623988952,0.0,0.0,0.0,0.0,0.0010770459230097,0.0
5L_L,0.0,0.0,0.0246388028895768,0.0,0.0,0.0329959794814917,5.0154224239536575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24dd_L,0.0,0.0,0.0966334164588528,0.0,0.0,0.0,0.010989279347481,0.0016033670708487,0.0,0.0,0.001763335222621,0.0,0.0,0.0,0.0,0.0,0.0
24dv_L,0.0,0.0,0.0188834154351395,0.0,0.0,0.0,0.0258260938033122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCEF_L,0.0,0.0,0.0174108226158699,0.0,0.0,0.0032454887706088,0.0683605421038793,0.010342123321243,0.0,0.0,0.0,0.0,0.0,0.0030008110300081,0.0,0.0,0.0003752931978107
6ma_L,0.0,0.0,0.0092483506126295,0.0,0.0,0.0271732293370235,0.0340020083603839,0.0297693117641428,0.0,0.0,0.0,0.0191266274916465,0.0099573824033138,0.0,0.0,0.0,6.160101025656821e-05
1_L,0.0,0.0,0.0782320205479452,0.0105366980201592,0.0,0.0309483248154457,0.000475727105633,0.0,0.0,0.0,0.0,8.543540015805549e-05,0.0,0.0,0.0,0.0,0.0
2_L,0.0,0.0,0.0508116522125861,0.0009957927755234,0.0,0.1353636901241868,0.0033002564388449,0.0,0.0,0.0,0.0,0.0097756445540412,0.0,0.0,0.0,0.0,0.0
3a_L,0.0,0.0,0.0126283652511795,0.0106611745464457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6mp_L,0.0,0.0,0.096004842615012,0.0,0.0,0.0121098303328584,0.0019566202963563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43_L,0.0,0.0,0.0,0.0612343434917208,0.0,0.0,0.0250720822364297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OP4_L,0.0,0.0,0.0008501335924216,0.1147351127151283,0.0,0.0,0.0189451022604951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OP1_L,0.0,0.0,0.0119712689545091,0.0597694440391069,0.0,0.0,0.0064713284199173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OP2-3_L,0.0,0.0,0.0021645021645021,0.0626166286543645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOP1_L,0.0,0.0,0.0,0.0127698749740147,0.0,0.0,0.0413570106130537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEF_L,0.0,0.0,0.0048102266736953,0.0060790273556231,0.0120343179593481,0.0317775571002979,0.0071900257515106,0.0001571174190845,0.0,0.0,0.0,0.0065837416760899,0.0005577723430728,0.0,0.0,0.0,0.0
